,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss,sender_loss_2,receiver_loss_2
29,120,1,[10823 35153 39538 15908],6,0,False,0.0,0.0,0.0,0.0
0,121,0,[38740 11789 31038  2959],10,1,False,0.0,0.0,0.0,0.0
1,122,0,[11075  3003 18788 12303],43,3,True,3.648897647857666,0.5515384078025818,3.415780544281006,0.9846157431602478
2,123,0,[47153 48396 10320 48768],49,0,True,4.1048712730407715,1.385371446609497,4.116513729095459,1.3863046169281006
3,124,0,[36902 12758 37046 44400],22,0,False,0.0,0.0,0.0,0.0
4,125,0,[19917 18868 21753 49421],23,0,False,0.0,0.0,0.0,0.0
5,126,0,[26141 22186 50252 47581],1,3,False,0.0,0.0,0.0,0.0
6,127,0,[10606 42118 17974  3903],49,3,True,4.003467082977295,1.172905445098877,4.032436370849609,1.5332705974578857
7,128,0,[  907 39852 46477 41240],9,1,False,0.0,0.0,0.0,0.0
8,129,0,[ 4623 50215 52124 18720],38,2,False,0.0,0.0,0.0,0.0
9,130,0,[51369 33557 23082 43828],13,2,True,4.264880180358887,1.388161063194275,4.071351528167725,1.3838930130004883
10,131,0,[14907 30016 11628 50605],17,3,True,4.075504779815674,1.3844691514968872,4.21541690826416,1.3877123594284058
11,132,0,[ 6333 16100 48179 33029],4,3,True,3.7309651374816895,1.0848160982131958,3.7173070907592773,2.3831350803375244
12,133,0,[24121  9663 31574  6984],23,2,True,3.8518905639648438,1.066419243812561,3.8422722816467285,2.592836856842041
13,134,0,[42146 15548  3926 47452],26,1,False,0.0,0.0,0.0,0.0
14,135,0,[  837 18644 19965 23287],41,2,True,4.036089897155762,1.3949799537658691,4.027840614318848,1.390121340751648
15,136,0,[29652 39009 34963  3481],10,2,False,0.0,0.0,0.0,0.0
16,137,0,[48025 33036 38645 23042],23,3,True,3.8325202465057373,1.0280601978302002,3.8148226737976074,1.5747108459472656
17,138,0,[30723 17540 39197  1144],2,2,False,0.0,0.0,0.0,0.0
18,139,0,[39271  1620 44148   230],38,0,False,0.0,0.0,0.0,0.0
19,140,0,[45996 35727 23852  5912],47,1,False,0.0,0.0,0.0,0.0
20,141,0,[ 6126  1386 18247 14622],27,0,True,3.5787556171417236,1.3143683671951294,3.4595322608947754,0.7983495593070984
21,142,0,[36181 45983 13765 30317],43,1,False,0.0,0.0,0.0,0.0
22,143,0,[35810 25321  1478  3371],36,2,False,0.0,0.0,0.0,0.0
23,144,0,[ 6425 11150 49517 14308],0,3,True,4.168044090270996,1.3843715190887451,4.230432033538818,1.3905267715454102
24,145,0,[51214 22900 14235 39606],35,1,False,0.0,0.0,0.0,0.0
25,146,0,[36190  8543 34598 39758],41,1,False,0.0,0.0,0.0,0.0
26,147,0,[27595 20221 32843 50819],27,3,True,3.5959863662719727,1.6336473226547241,3.3414971828460693,1.013033151626587
27,148,0,[32991  4404  7505 22448],3,1,False,0.0,0.0,0.0,0.0
28,149,0,[24922 27236 23129 20233],5,3,False,0.0,0.0,0.0,0.0
29,150,0,[11926 31871  9462 43799],9,2,False,0.0,0.0,0.0,0.0
0,151,1,[52059 40605 36806 12953],9,3,False,0.0,0.0,0.0,0.0
1,152,1,[47681 12655 16678 28384],44,0,False,0.0,0.0,0.0,0.0
2,153,1,[16647 35044  1773   138],23,3,False,0.0,0.0,0.0,0.0
3,154,1,[33414 31347 38838 10799],17,0,False,0.0,0.0,0.0,0.0
4,155,1,[ 2417 36734 35850 12816],45,3,False,0.0,0.0,0.0,0.0
5,156,1,[48469 12725  5338 15071],48,2,True,3.57533597946167,1.2291909456253052,3.39990496635437,2.6629700660705566
6,157,1,[29726 24029 42309 16363],6,3,False,0.0,0.0,0.0,0.0
7,158,1,[20887 46407  6264 14967],44,0,True,4.0444841384887695,1.385361909866333,4.144161224365234,1.3833011388778687
8,159,1,[31354 42300 17587  6603],3,0,True,4.045658588409424,1.386129379272461,4.245224952697754,1.3838942050933838
9,160,1,[11648 38193  1797 33087],0,2,False,0.0,0.0,0.0,0.0
10,161,1,[15811  9988 27919 48399],37,0,False,0.0,0.0,0.0,0.0
11,162,1,[ 6900 10088  6334 24553],34,1,False,0.0,0.0,0.0,0.0
12,163,1,[18240 36375 50424   738],28,2,False,0.0,0.0,0.0,0.0
13,164,1,[33684 15611 10077   252],35,3,False,0.0,0.0,0.0,0.0
14,165,1,[33873 19903 35256 38346],22,1,True,3.786588668823242,1.0857863426208496,3.770495891571045,1.408331274986267
15,166,1,[34748 10917 32987  5769],40,0,False,0.0,0.0,0.0,0.0
16,167,1,[ 5480 15696 12124 36873],28,0,False,0.0,0.0,0.0,0.0
17,168,1,[22635 19823 38800 11381],37,3,False,0.0,0.0,0.0,0.0
18,169,1,[24864 30775  7681 50938],42,3,False,0.0,0.0,0.0,0.0
19,170,1,[17394 33919 30931 25754],44,3,False,0.0,0.0,0.0,0.0
20,171,1,[24095 18351  7421 30113],2,1,True,3.85282564163208,1.5876028537750244,3.8477261066436768,1.1332777738571167
21,172,1,[26688  1608 49724 39192],47,1,False,0.0,0.0,0.0,0.0
22,173,1,[43270 12944 48772 29403],17,1,True,4.063004970550537,0.8655847311019897,4.073568344116211,1.4254035949707031
23,174,1,[ 7034  8030 38388  1686],26,1,True,4.148624897003174,1.379683017730713,4.392597198486328,1.3862600326538086
24,175,1,[39053  5755 29949 37157],42,2,False,0.0,0.0,0.0,0.0
25,176,1,[32783 16170 45231 24475],43,2,False,0.0,0.0,0.0,0.0
26,177,1,[16489 43383 17821 44375],14,2,False,0.0,0.0,0.0,0.0
27,178,1,[35456 47444  3519 14966],17,1,True,3.928809404373169,0.8103150129318237,4.007363319396973,1.2075692415237427
28,179,1,[10800  7956 14744 32781],20,0,False,0.0,0.0,0.0,0.0
29,180,1,[51375 44861 16350 44095],40,0,True,4.096831321716309,1.3879985809326172,4.56680965423584,1.3922466039657593
0,181,0,[19082 24219 20710 38952],30,2,False,0.0,0.0,0.0,0.0
1,182,0,[ 4431  1661 47962 28175],21,3,True,4.104095458984375,1.3725330829620361,4.227489948272705,1.3822475671768188
2,183,0,[36446 17882 48951 35997],25,3,True,3.858363151550293,1.4388062953948975,3.8283185958862305,1.4493662118911743
3,184,0,[41237 49453 28338  8046],37,3,False,0.0,0.0,0.0,0.0
4,185,0,[14648 32913 12765   273],4,0,False,0.0,0.0,0.0,0.0
5,186,0,[28258 10553 17069 31034],33,1,True,4.05771541595459,1.3860976696014404,4.0883307456970215,1.3867151737213135
6,187,0,[42717 51131 16365 31568],46,0,True,4.097078800201416,1.386152982711792,4.191011905670166,1.3849130868911743
7,188,0,[45580 50299 13463  5355],48,0,False,0.0,0.0,0.0,0.0
8,189,0,[45133 11751  6870 41351],9,3,False,0.0,0.0,0.0,0.0
9,190,0,[43289 11394 40412   152],15,0,True,3.9064643383026123,2.934551239013672,3.9516987800598145,0.6597824692726135
10,191,0,[38758 21541 22238 13144],26,1,False,0.0,0.0,0.0,0.0
11,192,0,[31947 24658 14459 37374],49,0,False,0.0,0.0,0.0,0.0
12,193,0,[32121 32498 44450 14120],37,1,True,3.685027837753296,0.883538007736206,3.473680019378662,0.6315857172012329
13,194,0,[ 3934 34032 32181 21455],25,1,False,0.0,0.0,0.0,0.0
14,195,0,[39851 13502 48695 50379],12,2,False,0.0,0.0,0.0,0.0
15,196,0,[34675  3817 29917 44266],23,2,False,0.0,0.0,0.0,0.0
16,197,0,[19021 32491 38790  1429],43,2,True,3.5473690032958984,0.020403964444994926,3.1705379486083984,0.6866669058799744
17,198,0,[46614 26400 45886 23500],45,3,False,0.0,0.0,0.0,0.0
18,199,0,[ 3422 34269 24293 45103],46,1,False,0.0,0.0,0.0,0.0
19,200,0,[41073   606 32544  7799],25,2,False,0.0,0.0,0.0,0.0
20,201,0,[36137 38920  6168 13567],40,1,False,0.0,0.0,0.0,0.0
21,202,0,[39597 19513  2246 28658],38,1,False,0.0,0.0,0.0,0.0
22,203,0,[ 2783 45918 29836 42606],15,2,False,0.0,0.0,0.0,0.0
23,204,0,[21002  3064 31630 36624],21,1,False,0.0,0.0,0.0,0.0
24,205,0,[10315 33528 30332 14982],42,1,False,0.0,0.0,0.0,0.0
25,206,0,[28175 12080 15716 29065],46,1,False,0.0,0.0,0.0,0.0
26,207,0,[48175 27326  1543 52136],45,3,False,0.0,0.0,0.0,0.0
27,208,0,[36187 49650 15060   188],43,1,False,0.0,0.0,0.0,0.0
28,209,0,[34353 36523 38220 18670],10,2,False,0.0,0.0,0.0,0.0
29,210,0,[26978 32806  2167 51713],23,0,False,0.0,0.0,0.0,0.0
0,211,1,[41240 40649 33191 37263],45,2,True,3.974116563796997,0.7107813358306885,3.8561930656433105,0.6289626955986023
1,212,1,[25102 49010 44632 37296],36,0,True,3.9706969261169434,2.232511520385742,3.9273815155029297,2.1309561729431152
2,213,1,[42688 26566 17724 12119],4,2,False,0.0,0.0,0.0,0.0
3,214,1,[32179 11378  2661 12135],4,3,True,3.4224085807800293,1.3096357583999634,3.4065518379211426,3.78236985206604
4,215,1,[43003 41048 21781 11012],45,3,True,4.014464855194092,0.5901899933815002,3.8670601844787598,0.23155498504638672
5,216,1,[10206 16424 47823  3013],35,3,False,0.0,0.0,0.0,0.0
6,217,1,[32418  1629  5502 45106],23,3,False,0.0,0.0,0.0,0.0
7,218,1,[39601  7566 51417 19190],35,0,False,0.0,0.0,0.0,0.0
8,219,1,[12969  3682 49017 43385],10,2,False,0.0,0.0,0.0,0.0
9,220,1,[31121 33003 48381 10998],15,3,False,0.0,0.0,0.0,0.0
