wn_id,wn_name,mcrae_name,broad_concept
n02534734,salmon,salmon,fish
n02532602,sardine,sardine,fish
n11711289,saucer magnolia,saucer,plant
n04143897,scarf,scarf,clothing
n04148054,scissors,scissors,tool
n04149374,scooter,scooter,vehicle
n04154565,screwdriver,screwdriver,tool
n02076196,seal,seal,mammal
n04186455,shawl,shawl,clothing
n04187547,shed,shed,building
n10588074,sheep,sheep,mammal
n09432283,shell,shell,NONE
n04192698,shield,shield,weapon
n04194289,ship,ship,vehicle
n04197391,shirt,shirt,clothing
n04206356,shotgun,shotgun,weapon
n04208210,shovel,shovel,tool
n01986806,shrimp,shrimp,fish
n03510244,heat sink,sink,NONE
n04225987,skateboard,skateboard,vehicle
n07685546,skillet bread,skillet,food
n04231272,skirt,skirt,clothing
n02445715,skunk,skunk,mammal
n04233124,skyscraper,skyscraper,building
n04235291,sled,sled,vehicle
n04236809,sleigh bed,sleigh,furniture
n01944390,snail,snail,insect
n04256520,sofa,sofa,furniture
n04266486,spade,spade,tool
n01539573,sparrow,sparrow,bird
n04269944,spatula,spatula,tool
n04270891,spear,spear,weapon
n01772222,spider,spider,insect
n07736692,spinach,spinach,vegetable
n04284341,spoon,spoon,tool
n01971280,squid,squid,fish
n02355227,squirrel,squirrel,mammal
n01576695,starling,starling,bird
n04315948,stereo,stereo,appliance
n04317833,stick,stick,weapon
n04326547,stone wall,stone,building
n04326896,stool,stool_(furniture),furniture
n02002075,stork,stork,bird
n04330267,stove,stove,appliance
n04332243,strainer,strainer,tool
n07745940,strawberry,strawberry,fruit
n04347754,submarine,submarine,vehicle
n04349306,subway train,subway,vehicle
n01858441,swan,swan,bird
n04370048,sweater,sweater,clothing
n04371563,swimsuit,swimsuit,clothing
n04373894,sword,sword,weapon
n04379243,table,table,furniture
n04383130,tack,tack,NONE
n07748416,tangerine,tangerine,fruit
n04388743,tank,tank_(army),vehicle
n04390977,tap,tap,appliance
n02979399,cassette tape,tape_(scotch),NONE
n10693334,taxi dancer,taxi,NONE
n04401088,telephone,telephone,appliance
n04411264,tent,tent,NONE
n04421872,thermometer,thermometer,tool
n04423845,thimble,thimble,NONE
n04433585,tie,tie,clothing
n02129604,tiger,tiger,mammal
n01645776,true toad,toad,reptile
n04442312,toaster,toaster,appliance
n04446276,toilet,toilet,furniture
n04449966,tomahawk,tomahawk,weapon
n07734017,tomato,tomato,fruit
n04450749,tongs,tongs,tool
n01670092,tortoise,tortoise,reptile
n04461879,toy,toy,toy
n04465501,tractor,tractor,vehicle
n04467307,trailer,trailer,vehicle
n04468005,train,train,vehicle
n04476259,tray,tray,container
n04482393,tricycle,tricycle,vehicle
n04485082,tripod,tripod,NONE
n04487394,trombone,trombone,musical_instrument
n03688605,long trousers,trousers,clothing
n02537085,trout,trout,fish
n04490091,truck,truck,vehicle
n12899752,angel's trumpet,trumpet,musical_instrument
n02626762,tuna,tuna,fish
n01794158,turkey,turkey,bird
n07735803,turnip,turnip,vegetable
n01662784,turtle,turtle,reptile
n04505036,typewriter,typewriter,appliance
n04507155,umbrella,umbrella,tool
n04509417,unicycle,unicycle,vehicle
n04516214,urn,urn,container
n04520170,van,van,vehicle
n03314884,face veil,veil,clothing
n04531873,vest,vest,clothing
n13100677,vine,vine,plant
n04536866,violin,violin,musical_instrument
n01616318,vulture,vulture,bird
n04543158,wagon,wagon,vehicle
n04547592,wall,wall,building
n07771212,walnut,walnut,food
n02081571,walrus,walrus,mammal
n04549629,wand,wand,tool
n02212062,wasp,wasp,insect
n02062744,whale,whale,mammal
n04574999,wheel,wheel,tool
n07612367,whip,whip,weapon
n04579667,whistle,whistle,tool
n12724942,willow,willow,plant
n01838598,woodpecker,woodpecker,bird
n01922303,worm,worm,insect
n04606574,wrench,wrench,tool
n04610013,yacht,yacht,vehicle
n07712267,yam,yam,vegetable
n02391049,zebra,zebra,mammal
n07716358,zucchini,zucchini,vegetable
